Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
142,20,1,78.0,11645,1,2,1,1,1,1,1,1,1,1,1,2,7,5,2005,2005,1,1,1,1,2,0.0,1,1,1,1,1,4,1,1300.0,1,0.0,434.0,1734.0,1,1,1,1,1734,0,0,1734,1.0,0.0,2,0,3,1,1,7,1,0,3,1,2005.0,3,2.0,660.0,1,1,1,160,24,0,0,0,0,2,2,2,0,1,2006,1,1,260000.0
170,20,1,105.28144420516593,16669,1,2,2,1,1,3,1,17,1,1,1,2,8,6,1981,1981,2,4,8,5,1,653.0,1,1,2,1,1,1,3,0.0,1,0.0,1686.0,1686.0,1,3,1,1,1707,0,0,1707,0.0,0.0,2,1,2,1,2,6,1,1,2,1,1981.0,1,2.0,511.0,1,1,1,574,64,0,0,0,0,2,2,2,0,1,2006,1,1,228000.0
303,20,1,118.0,13704,1,2,2,1,1,3,1,1,1,1,1,2,7,5,2001,2002,1,1,1,1,1,150.0,1,1,1,1,1,1,3,0.0,1,0.0,1541.0,1541.0,1,1,1,1,1541,0,0,1541,0.0,0.0,2,0,3,1,1,6,1,1,2,1,2001.0,1,3.0,843.0,1,1,1,468,81,0,0,0,0,2,2,2,0,1,2006,1,1,205000.0
371,60,1,62.769857832207656,8121,1,2,2,1,1,1,1,18,1,1,1,1,6,5,2000,2000,1,1,1,1,2,0.0,2,1,1,1,1,1,3,0.0,1,0.0,953.0,953.0,1,1,1,1,953,711,0,1664,0.0,0.0,2,1,3,1,2,7,1,1,2,1,2000.0,1,2.0,460.0,1,1,1,100,40,0,0,0,0,4,2,2,0,1,2006,1,1,172400.0
665,20,1,49.0,20896,1,2,3,1,1,4,1,6,7,1,1,2,8,5,2005,2006,1,1,1,1,2,0.0,1,1,1,3,1,3,1,1721.0,1,0.0,356.0,2077.0,1,1,1,1,2097,0,0,2097,1.0,0.0,1,1,1,1,3,8,1,1,5,1,2005.0,3,3.0,1134.0,1,1,1,192,267,0,0,0,0,4,2,2,0,1,2006,2,3,423000.0
811,20,1,78.0,10140,1,2,1,1,1,1,1,7,1,1,1,2,6,6,1974,1999,2,1,4,4,1,99.0,2,1,2,2,1,1,2,663.0,6,377.0,0.0,1040.0,1,4,1,1,1309,0,0,1309,1.0,0.0,1,1,3,1,1,5,1,1,4,1,1974.0,1,2.0,484.0,1,1,1,265,0,0,0,0,648,3,4,2,0,1,2006,1,1,181000.0
997,20,1,70.65115217818543,10659,1,2,2,1,1,1,1,12,1,1,1,2,5,6,1961,1961,2,1,3,6,2,0.0,2,1,2,2,1,1,4,915.0,1,0.0,135.0,1050.0,1,3,1,1,1050,0,0,1050,1.0,0.0,1,0,3,1,2,6,1,0,2,1,1961.0,2,1.0,368.0,1,1,1,0,319,0,0,0,0,4,2,2,0,1,2006,3,1,136500.0
1041,20,1,88.0,13125,1,2,1,1,1,3,1,10,1,1,1,2,5,4,1957,2000,1,1,3,6,4,67.0,2,1,2,2,1,1,4,168.0,2,682.0,284.0,1134.0,1,1,1,1,1803,0,0,1803,1.0,0.0,2,0,3,1,2,8,3,1,2,1,1957.0,1,2.0,484.0,1,1,1,0,0,0,0,0,0,2,4,2,0,1,2006,1,1,155000.0
1405,50,1,60.0,10410,1,2,1,1,1,3,1,8,4,1,1,3,3,4,1915,1950,1,1,3,6,2,0.0,2,1,1,2,1,1,3,0.0,1,0.0,672.0,672.0,1,3,1,1,694,520,0,1214,0.0,0.0,1,0,3,1,2,6,1,0,2,2,1998.0,2,3.0,936.0,1,1,1,216,0,160,0,0,0,4,2,2,0,1,2006,1,6,105000.0
4,70,1,60.0,9550,1,2,2,1,1,3,1,3,1,1,1,1,7,5,1915,1970,1,1,3,3,2,0.0,2,1,3,2,2,1,2,216.0,1,0.0,540.0,756.0,1,2,1,1,961,756,0,1717,1.0,0.0,1,0,3,1,1,7,1,1,3,2,1998.0,2,3.0,642.0,1,1,1,0,35,272,0,0,0,4,2,2,0,2,2006,1,2,140000.0
223,60,1,85.0,11475,1,2,1,1,1,1,1,7,7,1,1,1,6,6,1975,1975,1,1,1,1,2,0.0,2,1,2,1,1,1,2,550.0,1,0.0,163.0,713.0,1,3,1,1,811,741,0,1552,1.0,0.0,2,1,3,1,2,6,1,1,2,1,1975.0,1,2.0,434.0,1,1,1,209,208,0,0,0,0,4,2,2,0,2,2006,1,1,179900.0
256,60,1,66.0,8738,1,2,2,1,1,1,1,18,1,1,1,1,7,5,1999,1999,1,1,1,1,1,302.0,1,1,1,1,1,1,3,0.0,1,0.0,975.0,975.0,1,1,1,1,1005,1286,0,2291,0.0,0.0,2,1,4,1,1,8,1,1,2,3,1999.0,3,2.0,429.0,1,1,1,192,0,0,0,0,0,4,4,2,0,2,2006,1,1,230000.0
603,60,1,80.0,10041,1,2,2,1,1,1,1,13,1,1,1,1,8,5,1992,1992,1,1,4,4,2,0.0,1,1,1,1,1,3,1,789.0,1,0.0,119.0,908.0,1,1,1,1,927,988,0,1915,1.0,0.0,2,1,3,1,1,8,1,1,2,1,1992.0,3,2.0,506.0,1,1,1,120,150,0,0,0,0,4,4,2,0,2,2006,1,2,220000.0
893,20,1,70.0,8414,1,2,1,1,1,1,1,10,1,1,1,2,6,8,1963,2003,2,1,4,4,2,0.0,2,1,2,2,1,1,1,663.0,1,0.0,396.0,1059.0,1,3,1,1,1068,0,0,1068,0.0,1.0,1,0,3,1,2,6,1,0,2,1,1963.0,1,1.0,264.0,1,1,1,192,0,0,0,0,0,4,2,2,0,2,2006,1,1,154500.0
949,60,1,65.0,14006,1,2,2,1,1,1,1,1,1,1,1,1,7,5,2002,2002,1,1,1,1,1,144.0,1,1,1,1,1,1,3,0.0,1,0.0,936.0,936.0,1,1,1,1,936,840,0,1776,0.0,0.0,2,1,3,1,1,7,1,1,2,1,2002.0,1,2.0,474.0,1,1,1,144,96,0,0,0,0,2,4,2,0,2,2006,1,1,192500.0
1034,20,1,60.45861621798689,8125,1,3,1,1,1,1,1,1,1,1,1,2,7,5,2002,2002,1,1,1,1,3,295.0,1,1,1,1,1,1,1,986.0,1,0.0,668.0,1654.0,1,1,1,1,1654,0,0,1654,1.0,0.0,2,0,3,1,1,6,1,0,3,1,2002.0,2,3.0,900.0,1,1,1,0,136,0,0,0,0,4,4,2,0,2,2006,1,1,230000.0
1168,60,1,58.0,10852,1,2,2,1,1,1,1,18,7,1,1,1,6,5,2000,2000,1,1,1,1,2,0.0,2,1,1,1,1,1,1,786.0,1,0.0,173.0,959.0,1,1,1,1,959,712,0,1671,1.0,0.0,2,1,3,1,2,7,1,1,2,1,2000.0,3,2.0,472.0,1,1,1,0,38,0,0,0,0,4,2,2,0,2,2006,1,1,173000.0
